"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.024704042E0,-1.922003174E-1,4.191284180E-2,9.756261749E0,9.758244769E0
2.034678042E0,-1.924996948E-1,4.355941772E-2,9.753717041E0,9.755713694E0
2.044651042E0,-1.951940918E-1,4.281097412E-2,9.752818909E0,9.754865974E0
2.054625042E0,-2.046244812E-1,3.936813354E-2,9.751322021E0,9.753548185E0
2.064598042E0,-2.040257263E-1,5.044509888E-2,9.765392761E0,9.767654119E0
2.074572042E0,-1.933978271E-1,5.164260864E-2,9.759105835E0,9.761158557E0
2.084546042E0,-2.004331970E-1,3.966751099E-2,9.764045563E0,9.766183120E0
2.094521042E0,-1.911524963E-1,4.954696655E-2,9.765542450E0,9.767538765E0
2.104496042E0,-1.908531189E-1,5.613327026E-2,9.774673462E0,9.776697660E0
2.114470042E0,-1.913021851E-1,5.613327026E-2,9.763895874E0,9.765931093E0
2.124444042E0,-1.895059204E-1,4.430786133E-2,9.765991516E0,9.767930486E0
2.134421292E0,-2.011816406E-1,4.999603271E-2,9.762099609E0,9.764300407E0
2.144396292E0,-2.025288391E-1,5.014572144E-2,9.764644318E0,9.766873152E0
2.154370292E0,-1.959425354E-1,5.074447632E-2,9.765243073E0,9.767340515E0
2.164345292E0,-1.987866211E-1,4.849914551E-2,9.758058014E0,9.760203097E0
2.174319292E0,-1.874102783E-1,4.460723877E-2,9.758058014E0,9.759959458E0
2.184293292E0,-1.907034302E-1,4.311035156E-2,9.765542450E0,9.767499457E0
2.194268292E0,-2.032772827E-1,4.311035156E-2,9.760602722E0,9.762814433E0
2.204243292E0,-2.005828857E-1,5.239105225E-2,9.754764862E0,9.756967553E0
2.214217292E0,-2.005828857E-1,4.101470947E-2,9.757908325E0,9.760055870E0
2.224192292E0,-2.004331970E-1,4.475692749E-2,9.767338715E0,9.769497542E0
2.234166292E0,-2.032772827E-1,5.209167480E-2,9.764195251E0,9.766449923E0
2.244141292E0,-1.922003174E-1,5.239105225E-2,9.763446808E0,9.765478962E0
2.254116292E0,-1.939965820E-1,5.269042969E-2,9.752070465E0,9.754142162E0
2.264090292E0,-1.923500061E-1,4.490661621E-2,9.783804474E0,9.785798134E0
2.274065292E0,-1.968406677E-1,4.790039063E-2,9.754166107E0,9.756269633E0
2.284041292E0,-1.950444031E-1,4.595443726E-2,9.766590271E0,9.768645743E0
2.294016292E0,-1.914518738E-1,4.385879517E-2,9.773625641E0,9.775598988E0
2.303993292E0,-1.923500061E-1,4.595443726E-2,9.771979065E0,9.773980007E0
2.313970292E0,-1.995350647E-1,4.176315308E-2,9.762698364E0,9.764826560E0
2.323945292E0,-1.862127686E-1,4.116439819E-2,9.761351166E0,9.763213932E0
2.333920292E0,-2.017803955E-1,4.715194702E-2,9.743987274E0,9.746190365E0
2.343895292E0,-2.043251038E-1,4.790039063E-2,9.750573578E0,9.752831809E0
2.353870292E0,-2.083666992E-1,4.326004028E-2,9.769284668E0,9.771602276E0
2.363845292E0,-2.010319519E-1,5.134323120E-2,9.760303345E0,9.762508456E0
2.373821292E0,-1.981878662E-1,6.167175293E-2,9.760453033E0,9.762659743E0
2.383796292E0,-1.936972046E-1,5.673202515E-2,9.767488403E0,9.769573524E0
2.393772292E0,-1.986369324E-1,4.909790039E-2,9.760752411E0,9.762896848E0
2.403748292E0,-1.942959595E-1,4.760101318E-2,9.771080933E0,9.773128433E0
2.413722292E0,-2.064207458E-1,5.239105225E-2,9.772428131E0,9.774748382E0
2.423697292E0,-2.019300842E-1,5.239105225E-2,9.762698364E0,9.764927032E0
2.433672292E0,-2.058219910E-1,4.191284180E-2,9.771380310E0,9.773637631E0
2.443647292E0,-1.983375549E-1,4.700225830E-2,9.761500854E0,9.763628728E0
2.453622292E0,-1.980381775E-1,5.493576050E-2,9.769434357E0,9.771595812E0
2.463596292E0,-1.978884888E-1,3.532653809E-2,9.767039337E0,9.769107699E0
2.473571292E0,-1.974394226E-1,3.367996216E-2,9.760453033E0,9.762507879E0
2.483545292E0,-1.999841309E-1,6.286926270E-2,9.746831360E0,9.749085483E0
2.493519292E0,-1.899549866E-1,5.643264771E-2,9.759255524E0,9.761267127E0
2.503494292E0,-1.839674377E-1,4.640350342E-2,9.765542450E0,9.767385354E0
2.513469292E0,-1.951940918E-1,4.535568237E-2,9.762099609E0,9.764156218E0
2.523443292E0,-1.966909790E-1,4.311035156E-2,9.763446808E0,9.765522997E0
2.533417292E0,-2.004331970E-1,5.059478760E-2,9.762698364E0,9.764886720E0
2.543391292E0,-1.960922241E-1,5.149291992E-2,9.767937469E0,9.770041253E0
2.553364292E0,-1.890568542E-1,5.403762817E-2,9.764794006E0,9.766773497E0
2.563338292E0,-2.088157654E-1,4.894821167E-2,9.761500854E0,9.763856763E0
2.573312292E0,-1.956431580E-1,3.876937866E-2,9.771230621E0,9.773265942E0
2.583287292E0,-1.930984497E-1,4.715194702E-2,9.766739960E0,9.768762448E0
2.593262292E0,-1.920506287E-1,5.733078003E-2,9.765243073E0,9.767299654E0
2.603237292E0,-1.981878662E-1,3.921844482E-2,9.767937469E0,9.770026557E0
