"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
3.188429583E-1,1.801090873E-2,2.479005922E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.230054993E-1,1.782180211E-2,2.465740791E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.271681243E-1,1.775224185E-2,2.469233064E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.313307083E-1,1.801879997E-2,2.474852926E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.354932493E-1,1.794313538E-2,2.477948325E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.396558333E-1,1.804647667E-2,2.480324063E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.438184583E-1,1.794555779E-2,2.476456397E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.479809993E-1,1.788862713E-2,2.467792088E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.521436243E-1,1.796407880E-2,2.476825179E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.563062083E-1,1.817265476E-2,2.481851244E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.604687913E-1,1.793576989E-2,2.476376251E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.646313743E-1,1.810204298E-2,2.474100490E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.687939583E-1,1.785042549E-2,2.471593379E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.729565413E-1,1.792651102E-2,2.476480358E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.771191243E-1,1.789472983E-2,2.474194131E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.812817083E-1,1.807983677E-2,2.475455260E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.854442913E-1,1.811456285E-2,2.482728995E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.896068743E-1,1.801196024E-2,2.480230421E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.937694163E-1,1.792072443E-2,2.470497774E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.020946663E-1,1.787568306E-2,2.471372495E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.062572493E-1,1.786557905E-2,2.470362820E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.104197913E-1,1.790283236E-2,2.479747617E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.145823743E-1,1.778854847E-2,2.471628632E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.187449583E-1,1.799038624E-2,2.476058972E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.229075833E-1,1.806973440E-2,2.478279375E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.270701243E-1,1.816875991E-2,2.483142669E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.312327083E-1,1.809362107E-2,2.485067276E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.353952913E-1,1.799165067E-2,2.478658898E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.395578743E-1,1.797102336E-2,2.475160290E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.437204583E-1,1.791219769E-2,2.469859911E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.478830833E-1,1.810477822E-2,2.479485697E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.520456243E-1,1.802700897E-2,2.481214207E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.562082083E-1,1.794303219E-2,2.473479978E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.603708333E-1,1.795502958E-2,2.468450057E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.686959993E-1,1.792040668E-2,2.469875334E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.728585413E-1,1.803206016E-2,2.474732018E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.770211663E-1,1.790798837E-2,2.472366746E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.811836663E-1,1.791156711E-2,2.474792610E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.853463333E-1,1.796723497E-2,2.479473028E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.895089583E-1,1.788073424E-2,2.477673460E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.936714993E-1,1.784610971E-2,2.479552898E1,1.502300000E-5,1.600000024E0,5.000000000E1
4.978340413E-1,1.799712279E-2,2.480242540E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.019966663E-1,1.806110611E-2,2.483360248E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.061592493E-1,1.781285607E-2,2.472933828E1,1.502300000E-5,1.600000024E0,5.000000000E1
5.103217913E-1,1.801606473E-2,2.481731438E1,1.502300000E-5,1.600000024E0,5.000000000E1
