Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"1,096361625","-0,8012837219","-0,5592370605","9,749376068","9,798221033"
"1,106313625","-0,7966433716","-0,5592370605","9,743837585","9,792331573"
"1,116266625","-0,7973918152","-0,5444178772","9,760303345","9,807943001"
"1,126218625","-0,8036787415","-0,5463638306","9,766889648","9,815118255"
"1,136171625","-0,8008346558","-0,5382806396","9,769434357","9,816971521"
"1,146124625","-0,8075706482","-0,5292993164","9,75970459","9,807352436"
"1,156076625","-0,8009843445","-0,5221142578","9,75506424","9,801808891"
"1,166029625","-0,8000862122","-0,5125341797","9,756261749","9,80242177"
"1,175981625","-0,7994874573","-0,5066963196","9,738748169","9,784637819"
"1,185934625","-0,8000862122","-0,500559082","9,729617157","9,77528247"
"1,195887625","-0,8026309204","-0,4857398987","9,7409935","9,786067341"
"1,205839625","-0,799637146","-0,4743635559","9,733808441","9,778111634"
"1,215792625","-0,7973918152","-0,47271698","9,73395813","9,777997542"
"1,225744625","-0,8021818542","-0,4528083801","9,726324005","9,76984697"
"1,235697625","-0,7979905701","-0,44697052","9,720935211","9,763869775"
"1,245649625","-0,800684967","-0,4399351501","9,731263733","9,774054082"
"1,255602625","-0,7993377686","-0,4402345276","9,727222137","9,769933358"
"1,265555625","-0,7957452393","-0,4240681458","9,726773071","9,768477807"
"1,275507625","-0,7933502197","-0,4113446045","9,716893616","9,757900927"
"1,285460625","-0,799637146","-0,4026626587","9,7210849","9,762225587"
"1,295412625","-0,793200531","-0,4113446045","9,709109802","9,750137672"
"1,305365625","-0,8005352783","-0,3968247986","9,709708557","9,750731609"
"1,315317625","-0,7955955505","-0,380508728","9,702972565","9,742968529"
"1,325270625","-0,7972421265","-0,3887416077","9,70821167","9,748645489"
"1,335223625","-0,7955955505","-0,392334137","9,69414093","9,734642609"
"1,345175625","-0,7966433716","-0,384250946","9,69294342","9,733213324"
"1,355128625","-0,7942483521","-0,3811074829","9,696086884","9,736024559"
"1,365080625","-0,7942483521","-0,37676651","9,699380035","9,739135307"
"1,375033625","-0,7966433716","-0,3866459656","9,698032837","9,73837649"
"1,384986625","-0,7909552002","-0,3788621521","9,69294342","9,732538148"
"1,394938625","-0,7966433716","-0,3758683777","9,689799957","9,729755439"
"1,404891625","-0,7988887024","-0,3808081055","9,710007935","9,750256"
"1,414843625","-0,7903564453","-0,3830534363","9,713301086","9,752928342"
"1,424796625","-0,7940986633","-0,3784130859","9,717941437","9,757672618"
"1,434748625","-0,7999365234","-0,3826043701","9,727222137","9,767555224"
"1,444701625","-0,7918533325","-0,3953279114","9,730066223","9,770235645"
"1,454654625","-0,8017327881","-0,4029620361","9,733658752","9,774930515"
"1,464606625","-0,8041278076","-0,3975732422","9,742789764","9,783999101"
"1,474559625","-0,8051756287","-0,3993695068","9,741592255","9,782965984"
"1,484511625","-0,8057743835","-0,417481842","9,747879181","9,790031255"
"1,494464625","-0,8084687805","-0,4153862","9,745933228","9,7882267"
"1,504416625","-0,8084687805","-0,4264631653","9,751022644","9,793770224"
"1,514369625","-0,8015830994","-0,4318519592","9,736652527","9,77913258"
"1,524322625","-0,809815979","-0,443228302","9,73859848","9,782257081"
"1,534274625","-0,8096662903","-0,4532574463","9,747879181","9,791943134"
"1,544227625","-0,8053253174","-0,4575984192","9,735754395","9,779716704"
"1,554180333","-0,7976911926","-0,4628375244","9,741891632","9,78544748"
"1,564133333","-0,8059240723","-0,4718188477","9,743987274","9,788637016"
"1,574085333","-0,8021818542","-0,4796026611","9,739047546","9,783790756"
"1,584038333","-0,8014334106","-0,5092410278","9,754016418","9,800125419"
"1,593991333","-0,7896080017","-0,5019062805","9,757010193","9,801767117"
"1,603943333","-0,7878117371","-0,5092410278","9,752519531","9,797530861"
"1,613896333","-0,7979905701","-0,522563324","9,750423889","9,796970317"
"1,623848333","-0,7957452393","-0,5227130127","9,743837585","9,790240562"
"1,633801333","-0,7882608032","-0,5328918457","9,735305328","9,781692014"
"1,643754333","-0,7917036438","-0,5370831299","9,72572525","9,772665173"
"1,653706333","-0,7822732544","-0,546663208","9,729766846","9,776459225"
"1,663659333","-0,7791297913","-0,5511538696","9,723629608","9,770352428"
"1,673611333","-0,7828720093","-0,5505551147","9,719138947","9,766148749"
"1,683564333","-0,77927948","-0,5572911072","9,720935211","9,768031084"
"1,693516333","-0,773890686","-0,5661227417","9,714199219","9,761407082"
"1,703469333","-0,7807763672","-0,5671705627","9,710157623","9,757994428"
"1,713422333","-0,7815248108","-0,5682183838","9,711804199","9,759753786"
"1,723374333","-0,7756869507","-0,5739065552","9,710307312","9,758131331"
"1,733327333","-0,7836204529","-0,5712121582","9,708361359","9,756670775"
"1,743279333","-0,7801776123","-0,5646258545","9,711504822","9,759139581"
"1,753232333","-0,7870632935","-0,5644761658","9,715995483","9,764152303"
"1,763184333","-0,7852670288","-0,5611830139","9,713151398","9,760987694"
"1,773137333","-0,7866142273","-0,5656736755","9,722432098","9,770590287"
"1,783090333","-0,7957452393","-0,5655239868","9,723629608","9,772512503"
"1,793042333","-0,7976911926","-0,5577401733","9,735005951","9,783543642"
"1,802995333","-0,7970924377","-0,5400769043","9,738448792","9,785929914"
"1,812947333","-0,7973918152","-0,5324427795","9,741143188","9,788217388"
"1,822900333","-0,8042774963","-0,5330415344","9,729766846","9,777492441"
"1,832852333","-0,8131091309","-0,5281018066","9,734856262","9,783019187"
"1,842805333","-0,8069718933","-0,5147795105","9,734107819","9,781056007"
"1,852758333","-0,8065228271","-0,5153782654","9,743089142","9,789988757"
"1,862710333","-0,8092172241","-0,5044509888","9,746232605","9,792770461"
"1,872663333","-0,8178991699","-0,4917274475","9,735005951","9,781671422"
"1,882615333","-0,8235873413","-0,4800517273","9,740095367","9,786633923"
