"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.464630833E-1,8.726852417E-2,1.306782532E0,1.182735489E1,1.189964790E1
9.563910833E-1,1.133143616E-1,1.180145874E0,1.192180847E1,1.198061358E1
9.663200833E-1,1.293310547E-1,1.195414124E0,1.190384583E1,1.196441753E1
9.762480833E-1,1.272354126E-1,1.296753387E0,1.186013672E1,1.193149618E1
9.861770833E-1,1.877096558E-1,1.212029572E0,1.189082291E1,1.195390815E1
9.961050833E-1,2.128573608E-1,1.005908203E0,1.195369217E1,1.199782964E1
1.006034083E0,1.892065430E-1,7.235952759E-1,1.200279007E1,1.202606996E1
1.015962083E0,9.819580078E-2,3.743714905E-1,1.196297287E1,1.196923207E1
1.025891083E0,-2.125579834E-1,1.103205872E-1,1.172915909E1,1.173160366E1
1.035819083E0,-5.176235962E-1,9.460327148E-2,1.141166931E1,1.142379449E1
1.045747083E0,-5.571414185E-1,2.248324585E-1,1.108654541E1,1.110281250E1
1.055676083E0,-2.915936279E-1,4.020639038E-1,1.083207458E1,1.084345526E1
1.065604083E0,-1.459465027E-1,4.972659302E-1,1.060035645E1,1.061301703E1
1.075533083E0,-2.327659607E-1,4.067042542E-1,1.030232620E1,1.031297792E1
1.085461083E0,-4.216731262E-1,2.502795410E-1,9.966125336E0,9.978181311E0
1.095390083E0,-6.152206421E-1,-4.191284180E-3,9.583520966E0,9.603248831E0
1.105318083E0,-8.101153564E-1,-2.264790344E-1,9.297166443E0,9.335142394E0
1.115247083E0,-9.617500305E-1,-3.677851868E-1,9.046437836E0,9.104848520E0
1.125175083E0,-9.548643494E-1,-3.770658875E-1,8.788374481E0,8.848133737E0
1.135103083E0,-7.011419678E-1,-2.236349487E-1,8.586145020E0,8.617627222E0
1.145032083E0,-3.462300110E-1,-9.580078125E-3,8.430768127E0,8.437879960E0
1.154960083E0,-3.966751099E-2,1.678010559E-1,8.339308319E0,8.341090693E0
1.164889083E0,1.682501221E-1,2.044747925E-1,8.258476410E0,8.262720536E0
1.174817083E0,2.206411743E-1,1.423539734E-1,8.162376251E0,8.166598634E0
1.184746083E0,7.918533325E-2,-4.131408691E-2,8.086035004E0,8.086528257E0
1.194674083E0,-1.848655701E-1,-3.014730835E-1,8.114176483E0,8.121879173E0
1.204603083E0,-3.983216858E-1,-5.637277222E-1,8.133037262E0,8.162275676E0
1.214531083E0,-5.367837524E-1,-6.581813049E-1,8.055947571E0,8.100594465E0
1.224460083E0,-5.589376831E-1,-6.382727051E-1,7.996221771E0,8.041104775E0
1.234388083E0,-4.843927002E-1,-6.518943787E-1,7.916287994E0,7.957840045E0
1.244316083E0,-4.032614136E-1,-4.918771362E-1,7.837402039E0,7.863169437E0
1.254245083E0,-3.095562744E-1,-2.676434326E-1,7.734116821E0,7.744935190E0
1.264173083E0,-2.092648315E-1,-1.172062683E-1,7.728428650E0,7.732149667E0
1.274102083E0,-1.213975525E-1,-4.909790039E-2,7.861501923E0,7.862592476E0
1.284030083E0,-1.184037781E-1,-6.706054688E-2,7.905360718E0,7.906531771E0
1.293959083E0,-2.056723022E-1,-1.538800049E-1,7.899672546E0,7.903847575E0
1.303887083E0,-3.800596619E-1,-2.553689575E-1,7.846533051E0,7.859881651E0
1.313816083E0,-5.613327026E-1,-3.188369751E-1,7.675887909E0,7.702986863E0
1.323744083E0,-6.207591248E-1,-2.746788025E-1,7.540718994E0,7.571210820E0
1.333673083E0,-5.680686951E-1,-1.651066589E-1,7.474855957E0,7.498228713E0
1.343601083E0,-4.043092346E-1,-6.840774536E-2,7.461383972E0,7.472643197E0
1.353529083E0,-3.273692322E-1,-2.799179077E-2,7.403753815E0,7.411040730E0
1.363458083E0,-3.134481812E-1,-7.484436035E-2,7.422165527E0,7.429158267E0
1.373386083E0,-3.297642517E-1,-1.651066589E-1,7.485783234E0,7.494861926E0
1.383315083E0,-3.534150696E-1,-2.526745605E-1,7.505841522E0,7.518404325E0
1.393243083E0,-4.044589233E-1,-2.878514099E-1,7.497758331E0,7.514174968E0
1.403172083E0,-3.998185730E-1,-2.294728088E-1,7.461833038E0,7.476059454E0
1.413100083E0,-3.836521912E-1,-1.463955688E-1,7.448510742E0,7.459821241E0
1.423029083E0,-3.896397400E-1,-1.056802368E-1,7.563621368E0,7.574388137E0
1.432957083E0,-3.644920349E-1,-1.766326904E-2,7.761509857E0,7.770083764E0
1.442885083E0,-2.918930054E-1,1.083746338E-1,7.882009277E0,7.888156745E0
1.452814083E0,-1.562750244E-1,2.155517578E-1,7.882757721E0,7.887252610E0
1.462742083E0,-1.392105103E-2,2.841091919E-1,8.077951813E0,8.082958451E0
1.472671083E0,7.155120850E-2,2.850073242E-1,8.330626373E0,8.335807371E0
1.482599083E0,8.187973022E-2,2.064207458E-1,8.538843384E0,8.541730512E0
1.492528083E0,3.412902832E-2,1.170565796E-1,8.764424286E0,8.765272391E0
1.502456083E0,-2.918930054E-2,1.978884888E-1,8.868158569E0,8.870414211E0
1.512385958E0,-3.278182983E-2,3.426374817E-1,8.830137634E0,8.836843652E0
1.522313958E0,2.260299683E-2,5.207670593E-1,8.785680084E0,8.801129687E0
1.532242958E0,6.122268677E-2,7.131170654E-1,8.824000397E0,8.852980694E0
1.542170958E0,6.376739502E-2,8.137078857E-1,8.889863434E0,8.927253703E0
1.552098958E0,-3.637435913E-2,8.849597168E-1,9.003776550E0,9.047235432E0
1.562027958E0,-1.823208618E-1,8.747808838E-1,9.247020721E0,9.290095517E0
1.571955958E0,-3.153941345E-1,8.536747742E-1,9.500443726E0,9.543933417E0
1.581884958E0,-4.746629333E-1,8.583151245E-1,9.738299103E0,9.787567582E0
1.591812958E0,-6.644682312E-1,9.654922485E-1,1.003812561E1,1.010631778E1
1.601741958E0,-5.942642212E-1,1.103505249E0,1.029993118E1,1.037590749E1
1.611669958E0,-4.183799744E-1,1.262175293E0,1.048823959E1,1.057219457E1
